"sex","age","mortality_decile","rate1000","mmets_quintile","mmets"
"Females",0,"decile_10",3.00617649566307,"quintile_20",0
"Females",0,"decile_10",3.00617649566307,"quintile_40",0
"Females",0,"decile_10",3.00617649566307,"quintile_60",2.94686406850815
"Females",0,"decile_10",3.00617649566307,"quintile_80",8.5631936788559
"Females",0,"decile_10",3.00617649566307,"quintile_100",40.064582824707
"Females",0,"decile_20",3.17243475765137,"quintile_20",0
"Females",0,"decile_20",3.17243475765137,"quintile_40",0
"Females",0,"decile_20",3.17243475765137,"quintile_60",2.94686406850815
"Females",0,"decile_20",3.17243475765137,"quintile_80",8.5631936788559
"Females",0,"decile_20",3.17243475765137,"quintile_100",40.064582824707
"Females",0,"decile_30",3.32791205035257,"quintile_20",0
"Females",0,"decile_30",3.32791205035257,"quintile_40",0
"Females",0,"decile_30",3.32791205035257,"quintile_60",2.94686406850815
"Females",0,"decile_30",3.32791205035257,"quintile_80",8.5631936788559
"Females",0,"decile_30",3.32791205035257,"quintile_100",40.064582824707
"Females",0,"decile_40",3.45792683028787,"quintile_20",0
"Females",0,"decile_40",3.45792683028787,"quintile_40",0
"Females",0,"decile_40",3.45792683028787,"quintile_60",2.94686406850815
"Females",0,"decile_40",3.45792683028787,"quintile_80",8.5631936788559
"Females",0,"decile_40",3.45792683028787,"quintile_100",40.064582824707
"Females",0,"decile_50",3.57039168441785,"quintile_20",0
"Females",0,"decile_50",3.57039168441785,"quintile_40",0
"Females",0,"decile_50",3.57039168441785,"quintile_60",2.94686406850815
"Females",0,"decile_50",3.57039168441785,"quintile_80",8.5631936788559
"Females",0,"decile_50",3.57039168441785,"quintile_100",40.064582824707
"Females",0,"decile_60",3.70143012872405,"quintile_20",0
"Females",0,"decile_60",3.70143012872405,"quintile_40",0
"Females",0,"decile_60",3.70143012872405,"quintile_60",2.94686406850815
"Females",0,"decile_60",3.70143012872405,"quintile_80",8.5631936788559
"Females",0,"decile_60",3.70143012872405,"quintile_100",40.064582824707
"Females",0,"decile_70",3.80271411577073,"quintile_20",0
"Females",0,"decile_70",3.80271411577073,"quintile_40",0
"Females",0,"decile_70",3.80271411577073,"quintile_60",2.94686406850815
"Females",0,"decile_70",3.80271411577073,"quintile_80",8.5631936788559
"Females",0,"decile_70",3.80271411577073,"quintile_100",40.064582824707
"Females",0,"decile_80",3.95092687970802,"quintile_20",0
"Females",0,"decile_80",3.95092687970802,"quintile_40",0
"Females",0,"decile_80",3.95092687970802,"quintile_60",2.94686406850815
"Females",0,"decile_80",3.95092687970802,"quintile_80",8.5631936788559
"Females",0,"decile_80",3.95092687970802,"quintile_100",40.064582824707
"Females",0,"decile_90",4.18396703932649,"quintile_20",0
"Females",0,"decile_90",4.18396703932649,"quintile_40",0
"Females",0,"decile_90",4.18396703932649,"quintile_60",2.94686406850815
"Females",0,"decile_90",4.18396703932649,"quintile_80",8.5631936788559
"Females",0,"decile_90",4.18396703932649,"quintile_100",40.064582824707
"Females",0,"decile_100",4.95766494242449,"quintile_20",0
"Females",0,"decile_100",4.95766494242449,"quintile_40",0
"Females",0,"decile_100",4.95766494242449,"quintile_60",2.94686406850815
"Females",0,"decile_100",4.95766494242449,"quintile_80",8.5631936788559
"Females",0,"decile_100",4.95766494242449,"quintile_100",40.064582824707
"Females",1,"decile_10",0.182116219865686,"quintile_20",0
"Females",1,"decile_10",0.182116219865686,"quintile_40",0
"Females",1,"decile_10",0.182116219865686,"quintile_60",3.03058654069901
"Females",1,"decile_10",0.182116219865686,"quintile_80",8.67143511772156
"Females",1,"decile_10",0.182116219865686,"quintile_100",40.064582824707
"Females",1,"decile_20",0.192188258629354,"quintile_20",0
"Females",1,"decile_20",0.192188258629354,"quintile_40",0
"Females",1,"decile_20",0.192188258629354,"quintile_60",3.03058654069901
"Females",1,"decile_20",0.192188258629354,"quintile_80",8.67143511772156
"Females",1,"decile_20",0.192188258629354,"quintile_100",40.064582824707
"Females",1,"decile_30",0.20160717892979,"quintile_20",0
"Females",1,"decile_30",0.20160717892979,"quintile_40",0
"Females",1,"decile_30",0.20160717892979,"quintile_60",3.03058654069901
"Females",1,"decile_30",0.20160717892979,"quintile_80",8.67143511772156
"Females",1,"decile_30",0.20160717892979,"quintile_100",40.064582824707
"Females",1,"decile_40",0.209483562862219,"quintile_20",0
"Females",1,"decile_40",0.209483562862219,"quintile_40",0
"Females",1,"decile_40",0.209483562862219,"quintile_60",3.03058654069901
"Females",1,"decile_40",0.209483562862219,"quintile_80",8.67143511772156
"Females",1,"decile_40",0.209483562862219,"quintile_100",40.064582824707
"Females",1,"decile_50",0.216296760334638,"quintile_20",0
"Females",1,"decile_50",0.216296760334638,"quintile_40",0
"Females",1,"decile_50",0.216296760334638,"quintile_60",3.03058654069901
"Females",1,"decile_50",0.216296760334638,"quintile_80",8.67143511772156
"Females",1,"decile_50",0.216296760334638,"quintile_100",40.064582824707
"Females",1,"decile_60",0.22423515855196,"quintile_20",0
"Females",1,"decile_60",0.22423515855196,"quintile_40",0
"Females",1,"decile_60",0.22423515855196,"quintile_60",3.03058654069901
"Females",1,"decile_60",0.22423515855196,"quintile_80",8.67143511772156
"Females",1,"decile_60",0.22423515855196,"quintile_100",40.064582824707
"Females",1,"decile_70",0.230371011480248,"quintile_20",0
"Females",1,"decile_70",0.230371011480248,"quintile_40",0
"Females",1,"decile_70",0.230371011480248,"quintile_60",3.03058654069901
"Females",1,"decile_70",0.230371011480248,"quintile_80",8.67143511772156
"Females",1,"decile_70",0.230371011480248,"quintile_100",40.064582824707
"Females",1,"decile_80",0.239349841679687,"quintile_20",0
"Females",1,"decile_80",0.239349841679687,"quintile_40",0
"Females",1,"decile_80",0.239349841679687,"quintile_60",3.03058654069901
"Females",1,"decile_80",0.239349841679687,"quintile_80",8.67143511772156
"Females",1,"decile_80",0.239349841679687,"quintile_100",40.064582824707
"Females",1,"decile_90",0.253467573292531,"quintile_20",0
"Females",1,"decile_90",0.253467573292531,"quintile_40",0
"Females",1,"decile_90",0.253467573292531,"quintile_60",3.03058654069901
"Females",1,"decile_90",0.253467573292531,"quintile_80",8.67143511772156
"Females",1,"decile_90",0.253467573292531,"quintile_100",40.064582824707
"Females",1,"decile_100",0.300338719292606,"quintile_20",0
"Females",1,"decile_100",0.300338719292606,"quintile_40",0
"Females",1,"decile_100",0.300338719292606,"quintile_60",3.03058654069901
"Females",1,"decile_100",0.300338719292606,"quintile_80",8.67143511772156
"Females",1,"decile_100",0.300338719292606,"quintile_100",40.064582824707
"Females",2,"decile_10",0.107423392363169,"quintile_20",0
"Females",2,"decile_10",0.107423392363169,"quintile_40",0
"Females",2,"decile_10",0.107423392363169,"quintile_60",2.8972727060318
"Females",2,"decile_10",0.107423392363169,"quintile_80",8.46588492393494
"Females",2,"decile_10",0.107423392363169,"quintile_100",40.064582824707
"Females",2,"decile_20",0.113364502785978,"quintile_20",0
"Females",2,"decile_20",0.113364502785978,"quintile_40",0
"Females",2,"decile_20",0.113364502785978,"quintile_60",2.8972727060318
"Females",2,"decile_20",0.113364502785978,"quintile_80",8.46588492393494
"Females",2,"decile_20",0.113364502785978,"quintile_100",40.064582824707
"Females",2,"decile_30",0.118920363608355,"quintile_20",0
"Females",2,"decile_30",0.118920363608355,"quintile_40",0
"Females",2,"decile_30",0.118920363608355,"quintile_60",2.8972727060318
"Females",2,"decile_30",0.118920363608355,"quintile_80",8.46588492393494
"Females",2,"decile_30",0.118920363608355,"quintile_100",40.064582824707
"Females",2,"decile_40",0.123566341227484,"quintile_20",0
"Females",2,"decile_40",0.123566341227484,"quintile_40",0
"Females",2,"decile_40",0.123566341227484,"quintile_60",2.8972727060318
"Females",2,"decile_40",0.123566341227484,"quintile_80",8.46588492393494
"Females",2,"decile_40",0.123566341227484,"quintile_100",40.064582824707
"Females",2,"decile_50",0.12758518581951,"quintile_20",0
"Females",2,"decile_50",0.12758518581951,"quintile_40",0
"Females",2,"decile_50",0.12758518581951,"quintile_60",2.8972727060318
"Females",2,"decile_50",0.12758518581951,"quintile_80",8.46588492393494
"Females",2,"decile_50",0.12758518581951,"quintile_100",40.064582824707
"Females",2,"decile_60",0.132267743293322,"quintile_20",0
"Females",2,"decile_60",0.132267743293322,"quintile_40",0
"Females",2,"decile_60",0.132267743293322,"quintile_60",2.8972727060318
"Females",2,"decile_60",0.132267743293322,"quintile_80",8.46588492393494
"Females",2,"decile_60",0.132267743293322,"quintile_100",40.064582824707
"Females",2,"decile_70",0.135887048246413,"quintile_20",0
"Females",2,"decile_70",0.135887048246413,"quintile_40",0
"Females",2,"decile_70",0.135887048246413,"quintile_60",2.8972727060318
"Females",2,"decile_70",0.135887048246413,"quintile_80",8.46588492393494
"Females",2,"decile_70",0.135887048246413,"quintile_100",40.064582824707
"Females",2,"decile_80",0.141183316751152,"quintile_20",0
"Females",2,"decile_80",0.141183316751152,"quintile_40",0
"Females",2,"decile_80",0.141183316751152,"quintile_60",2.8972727060318
"Females",2,"decile_80",0.141183316751152,"quintile_80",8.46588492393494
"Females",2,"decile_80",0.141183316751152,"quintile_100",40.064582824707
"Females",2,"decile_90",0.149510826642599,"quintile_20",0
"Females",2,"decile_90",0.149510826642599,"quintile_40",0
"Females",2,"decile_90",0.149510826642599,"quintile_60",2.8972727060318
"Females",2,"decile_90",0.149510826642599,"quintile_80",8.46588492393494
"Females",2,"decile_90",0.149510826642599,"quintile_100",40.064582824707
"Females",2,"decile_100",0.177158322900708,"quintile_20",0
"Females",2,"decile_100",0.177158322900708,"quintile_40",0
"Females",2,"decile_100",0.177158322900708,"quintile_60",2.8972727060318
"Females",2,"decile_100",0.177158322900708,"quintile_80",8.46588492393494
"Females",2,"decile_100",0.177158322900708,"quintile_100",40.064582824707
"Females",3,"decile_10",0.0856030157894006,"quintile_20",0
"Females",3,"decile_10",0.0856030157894006,"quintile_40",0
"Females",3,"decile_10",0.0856030157894006,"quintile_60",2.8972727060318
"Females",3,"decile_10",0.0856030157894006,"quintile_80",8.46591293811798
"Females",3,"decile_10",0.0856030157894006,"quintile_100",40.064582824707
"Females",3,"decile_20",0.0903373381575766,"quintile_20",0
"Females",3,"decile_20",0.0903373381575766,"quintile_40",0
"Females",3,"decile_20",0.0903373381575766,"quintile_60",2.8972727060318
"Females",3,"decile_20",0.0903373381575766,"quintile_80",8.46591293811798
"Females",3,"decile_20",0.0903373381575766,"quintile_100",40.064582824707
"Females",3,"decile_30",0.0947646647504081,"quintile_20",0
"Females",3,"decile_30",0.0947646647504081,"quintile_40",0
"Females",3,"decile_30",0.0947646647504081,"quintile_60",2.8972727060318
"Females",3,"decile_30",0.0947646647504081,"quintile_80",8.46591293811798
"Females",3,"decile_30",0.0947646647504081,"quintile_100",40.064582824707
"Females",3,"decile_40",0.0984669281656512,"quintile_20",0
"Females",3,"decile_40",0.0984669281656512,"quintile_40",0
"Females",3,"decile_40",0.0984669281656512,"quintile_60",2.8972727060318
"Females",3,"decile_40",0.0984669281656512,"quintile_80",8.46591293811798
"Females",3,"decile_40",0.0984669281656512,"quintile_100",40.064582824707
"Females",3,"decile_50",0.101669444949922,"quintile_20",0
"Females",3,"decile_50",0.101669444949922,"quintile_40",0
"Females",3,"decile_50",0.101669444949922,"quintile_60",2.8972727060318
"Females",3,"decile_50",0.101669444949922,"quintile_80",8.46591293811798
"Females",3,"decile_50",0.101669444949922,"quintile_100",40.064582824707
"Females",3,"decile_60",0.105400857936866,"quintile_20",0
"Females",3,"decile_60",0.105400857936866,"quintile_40",0
"Females",3,"decile_60",0.105400857936866,"quintile_60",2.8972727060318
"Females",3,"decile_60",0.105400857936866,"quintile_80",8.46591293811798
"Females",3,"decile_60",0.105400857936866,"quintile_100",40.064582824707
"Females",3,"decile_70",0.108284991571361,"quintile_20",0
"Females",3,"decile_70",0.108284991571361,"quintile_40",0
"Females",3,"decile_70",0.108284991571361,"quintile_60",2.8972727060318
"Females",3,"decile_70",0.108284991571361,"quintile_80",8.46591293811798
"Females",3,"decile_70",0.108284991571361,"quintile_100",40.064582824707
"Females",3,"decile_80",0.112505455536074,"quintile_20",0
"Females",3,"decile_80",0.112505455536074,"quintile_40",0
"Females",3,"decile_80",0.112505455536074,"quintile_60",2.8972727060318
"Females",3,"decile_80",0.112505455536074,"quintile_80",8.46591293811798
"Females",3,"decile_80",0.112505455536074,"quintile_100",40.064582824707
"Females",3,"decile_90",0.119141439980821,"quintile_20",0
"Females",3,"decile_90",0.119141439980821,"quintile_40",0
"Females",3,"decile_90",0.119141439980821,"quintile_60",2.8972727060318
"Females",3,"decile_90",0.119141439980821,"quintile_80",8.46591293811798
"Females",3,"decile_90",0.119141439980821,"quintile_100",40.064582824707
"Females",3,"decile_100",0.141173038561501,"quintile_20",0
"Females",3,"decile_100",0.141173038561501,"quintile_40",0
"Females",3,"decile_100",0.141173038561501,"quintile_60",2.8972727060318
"Females",3,"decile_100",0.141173038561501,"quintile_80",8.46591293811798
"Females",3,"decile_100",0.141173038561501,"quintile_100",40.064582824707
"Females",4,"decile_10",0.0562294319400965,"quintile_20",0
"Females",4,"decile_10",0.0562294319400965,"quintile_40",0
"Females",4,"decile_10",0.0562294319400965,"quintile_60",2.8972727060318
"Females",4,"decile_10",0.0562294319400965,"quintile_80",8.5631936788559
"Females",4,"decile_10",0.0562294319400965,"quintile_100",40.064582824707
"Females",4,"decile_20",0.0593392319270356,"quintile_20",0
"Females",4,"decile_20",0.0593392319270356,"quintile_40",0
"Females",4,"decile_20",0.0593392319270356,"quintile_60",2.8972727060318
"Females",4,"decile_20",0.0593392319270356,"quintile_80",8.5631936788559
"Females",4,"decile_20",0.0593392319270356,"quintile_100",40.064582824707
"Females",4,"decile_30",0.0622473778262485,"quintile_20",0
"Females",4,"decile_30",0.0622473778262485,"quintile_40",0
"Females",4,"decile_30",0.0622473778262485,"quintile_60",2.8972727060318
"Females",4,"decile_30",0.0622473778262485,"quintile_80",8.5631936788559
"Females",4,"decile_30",0.0622473778262485,"quintile_100",40.064582824707
"Females",4,"decile_40",0.0646792567362611,"quintile_20",0
"Females",4,"decile_40",0.0646792567362611,"quintile_40",0
"Females",4,"decile_40",0.0646792567362611,"quintile_60",2.8972727060318
"Females",4,"decile_40",0.0646792567362611,"quintile_80",8.5631936788559
"Females",4,"decile_40",0.0646792567362611,"quintile_100",40.064582824707
"Females",4,"decile_50",0.0667828707023998,"quintile_20",0
"Females",4,"decile_50",0.0667828707023998,"quintile_40",0
"Females",4,"decile_50",0.0667828707023998,"quintile_60",2.8972727060318
"Females",4,"decile_50",0.0667828707023998,"quintile_80",8.5631936788559
"Females",4,"decile_50",0.0667828707023998,"quintile_100",40.064582824707
"Females",4,"decile_60",0.0692338968800981,"quintile_20",0
"Females",4,"decile_60",0.0692338968800981,"quintile_40",0
"Females",4,"decile_60",0.0692338968800981,"quintile_60",2.8972727060318
"Females",4,"decile_60",0.0692338968800981,"quintile_80",8.5631936788559
"Females",4,"decile_60",0.0692338968800981,"quintile_100",40.064582824707
"Females",4,"decile_70",0.0711283768164821,"quintile_20",0
"Females",4,"decile_70",0.0711283768164821,"quintile_40",0
"Females",4,"decile_70",0.0711283768164821,"quintile_60",2.8972727060318
"Females",4,"decile_70",0.0711283768164821,"quintile_80",8.5631936788559
"Females",4,"decile_70",0.0711283768164821,"quintile_100",40.064582824707
"Females",4,"decile_80",0.0739006423619312,"quintile_20",0
"Females",4,"decile_80",0.0739006423619312,"quintile_40",0
"Females",4,"decile_80",0.0739006423619312,"quintile_60",2.8972727060318
"Females",4,"decile_80",0.0739006423619312,"quintile_80",8.5631936788559
"Females",4,"decile_80",0.0739006423619312,"quintile_100",40.064582824707
"Females",4,"decile_90",0.0782595733207355,"quintile_20",0
