"id_base","age","sex","risk_group","mmets_group","mmets","rr_PHYSICAL_ACTIVITY_all-cause-mortality","rr_PHYSICAL_ACTIVITY_all-cause-dementia","rr_PHYSICAL_ACTIVITY_bladder-cancer","rr_PHYSICAL_ACTIVITY_breast-cancer","rr_PHYSICAL_ACTIVITY_colon-cancer","rr_PHYSICAL_ACTIVITY_coronary-heart-disease","rr_PHYSICAL_ACTIVITY_depression","rr_PHYSICAL_ACTIVITY_diabetes","rr_PHYSICAL_ACTIVITY_endometrial-cancer","rr_PHYSICAL_ACTIVITY_esophageal-cancer","rr_PHYSICAL_ACTIVITY_gastric-cardia-cancer","rr_PHYSICAL_ACTIVITY_head-and-neck-cancer","rr_PHYSICAL_ACTIVITY_liver-cancer","rr_PHYSICAL_ACTIVITY_lung-cancer","rr_PHYSICAL_ACTIVITY_myeloid-leukemia","rr_PHYSICAL_ACTIVITY_myeloma","rr_PHYSICAL_ACTIVITY_parkinson's-disease","rr_PHYSICAL_ACTIVITY_stroke"
1,0,"female",1,"percentile_10",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,"female",1,"percentile_30",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,"female",1,"percentile_50",1.45833343267441,0.903060690987842,0.912288623492506,0.972297616838249,0.990310032449599,0.984278707250984,0.947369773604574,0.931001967555325,0.943555551846822,0.979709296571603,0.988108424593216,0.949070971120217,0.896101433693112,0.96520190181576,0.956502096516618,0.913084157160145,0.941390941534716,0.959712385652398,0.946413547473924
1,0,"female",1,"percentile_70",5.79397991895676,0.734319467963561,0.764185791604417,0.917289659968755,0.9636791758272,0.943617089351834,0.830402988288953,0.788562701653934,0.806349844988209,0.927439068241348,0.958379835562739,0.827913479367942,0.69991336976302,0.878378620731136,0.865072941424453,0.772130751985194,0.802685641283085,0.86224431049092,0.834416177532629
1,0,"female",1,"percentile_90",11.6737631225586,0.678192812610406,0.738674365716149,0.901085252241584,0.937007495640703,0.912801605120744,0.762802622845976,0.727833989482053,0.697339254603795,0.886490012414442,0.940521917452966,0.748366167223379,0.633412415251914,0.812379000209912,0.829818961467039,0.751599696878008,0.720739092075268,0.787271759919858,0.780221417269328
2,0,"female",2,"percentile_10",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,0,"female",2,"percentile_30",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,0,"female",2,"percentile_50",1.45833343267441,0.903060690987842,0.912288623492506,0.972297616838249,0.990310032449599,0.984278707250984,0.947369773604574,0.931001967555325,0.943555551846822,0.979709296571603,0.988108424593216,0.949070971120217,0.896101433693112,0.96520190181576,0.956502096516618,0.913084157160145,0.941390941534716,0.959712385652398,0.946413547473924
2,0,"female",2,"percentile_70",5.79397991895676,0.734319467963561,0.764185791604417,0.917289659968755,0.9636791758272,0.943617089351834,0.830402988288953,0.788562701653934,0.806349844988209,0.927439068241348,0.958379835562739,0.827913479367942,0.69991336976302,0.878378620731136,0.865072941424453,0.772130751985194,0.802685641283085,0.86224431049092,0.834416177532629
2,0,"female",2,"percentile_90",11.6737631225586,0.678192812610406,0.738674365716149,0.901085252241584,0.937007495640703,0.912801605120744,0.762802622845976,0.727833989482053,0.697339254603795,0.886490012414442,0.940521917452966,0.748366167223379,0.633412415251914,0.812379000209912,0.829818961467039,0.751599696878008,0.720739092075268,0.787271759919858,0.780221417269328
3,0,"female",3,"percentile_10",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,0,"female",3,"percentile_30",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,0,"female",3,"percentile_50",1.45833343267441,0.903060690987842,0.912288623492506,0.972297616838249,0.990310032449599,0.984278707250984,0.947369773604574,0.931001967555325,0.943555551846822,0.979709296571603,0.988108424593216,0.949070971120217,0.896101433693112,0.96520190181576,0.956502096516618,0.913084157160145,0.941390941534716,0.959712385652398,0.946413547473924
3,0,"female",3,"percentile_70",5.79397991895676,0.734319467963561,0.764185791604417,0.917289659968755,0.9636791758272,0.943617089351834,0.830402988288953,0.788562701653934,0.806349844988209,0.927439068241348,0.958379835562739,0.827913479367942,0.69991336976302,0.878378620731136,0.865072941424453,0.772130751985194,0.802685641283085,0.86224431049092,0.834416177532629
